keyword,job_category,priority
data engineer,Data Engineer,10
data architect,Data Engineer,15
data governance,Data Engineer,20
analytics engineer,Data Engineer,15
etl developer,Data Engineer,25
data pipeline,Data Engineer,25
cv/cvcc ky thuat du lieu,Data Engineer,15
ky thuat du lieu,Data Engineer,20
data analyst,Data Analyst,10
data analytics,Data Analyst,15
reporting engineer,Data Analyst,20
business intelligence,Data Analyst,20
bi analyst,Data Analyst,20
bi developer,Data Analyst,25
phan tich nghiep vu,Data Analyst,15
data manager,Data Management,10
data management,Data Management,15
quan tri du lieu,Data Management,15
chuyen gia du lieu,Data Management,20
sales analytics,Sales Operations,10
demand analyst,Supply Chain Analyst,10
ai engineer,AI Engineer,10
ai developer,AI Engineer,10
ai operations,AI Engineer,15
ai solution,AI Engineer,15
ai intern,AI Engineer,20
artificial intelligence,AI Engineer,15
machine learning,AI Engineer,20
ml engineer,AI Engineer,20
agentic ai,AI Engineer,15
ai researcher,AI Engineer,20
deep learning,AI Engineer,25
computer vision,AI Engineer,25
thi giac may tinh,AI Engineer,25
nlp,AI Engineer,25
llm,AI Engineer,15
prompt engineer,AI Engineer,25
data science,Data Scientist,10
data scientist,Data Scientist,10
business analyst,Business Analyst,10
system analyst,Business Analyst,20
business development,Business Development,10
technical sales,Technical Sales,10
sales engineer,Technical Sales,20
database administrator,Database Administrator,10
backend developer,Backend Developer,10
backend engineer,Backend Developer,10
backend dev,Backend Developer,15
java developer,Backend Developer,20
golang,Backend Developer,20
ruby,Backend Developer,25
php developer,Backend Developer,20
wordpress,Backend Developer,25
shopify developer,Backend Developer,25
frontend developer,Frontend Developer,10
frontend engineer,Frontend Developer,10
frontend dev,Frontend Developer,15
react developer,Frontend Developer,15
vue developer,Frontend Developer,20
web developer,Frontend Developer,20
html,Frontend Developer,25
css,Frontend Developer,25
figma,Frontend Developer,25
fullstack developer,Fullstack Developer,10
full-stack developer,Fullstack Developer,10
full stack developer,Fullstack Developer,10
fullstack engineer,Fullstack Developer,15
full-stack engineer,Fullstack Developer,15
devops engineer,DevOps Engineer,10
devops,DevOps Engineer,15
sre,DevOps Engineer,15
site reliability,DevOps Engineer,20
